loginID,password,email,UserType,govtid
Sfwre12,3rdYear!,sfwreng12@gmail.com,1,1234567890AB
mech45,WhenSpring?1,mikemech@gmail.com,2,Z8877
biome66,WhenGraduate#89,howbionow@gmail.com,3,Physio_clinic@oneid.ontariohealth.ca
test123,b'$2b$12$Jn2VIOpWjYXxDDns47VxXeFGGoTVf75Iz5L12N.P/ypEkB8yGU8va',hello@gmail.com,1,56781230DD
test123,b'$2b$12$Q.9Vl7lkpgWi881dg9rTSeWZjSyMNq/giYpElxB9x8VkJLJpbiVxW',hello@gmail.com,1,56781230DD
test123,b'$2b$12$GuE.lTMR1fWpZixZej9ONuHsOstzZxzvnUy3AOIIwvdHXTqi7Y92y',hello@gmail.com,1,56781230DD
test123,b'$2b$12$fAio/GCZZspWPvTpFiHrWOVBWAxrE758p8n.aCp.NCbo/c75IF0lm',hello@gmail.com,1,56781230DD
test123,b'$2b$12$7AYHbhVnBEpal3pFcOvnsuBHZ/umEc6Cfjr.SG.7O6k8zMnOn5uIq',hello@gmail.com,1,56781230DD
test123,hello123,hello@gmail.com,1,56781230DD
test123,hello123,hello@gmail.com,1,56781230DD
test123,hello123,hello@gmail.com,1,56781230DD
